2.600000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.400000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.400000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.300000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.300000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.300000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.200000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.400000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.400000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.300000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.200000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.200000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.200000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.200000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
1.800000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.100000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.300000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.400000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.500000000000000000e+01,2.500000000000000000e+01,nan,nan,nan,nan,nan,nan,nan
